,player_type,amount,rank,team,year
1318,Active Roster,"$67,982,517",20th,miami-marlins,2023
1319,Injured List,"$25,595,861",16th,miami-marlins,2023
1320,Retained,"$10,698,514",22nd,miami-marlins,2023
1321,Minor,"$1,158,917",23rd,miami-marlins,2023
1322,Total Adjusted Payroll Allocations,"$105,435,809",22nd,miami-marlins,2023
1323,Active Roster,"$86,339,557",13th,milwaukee-brewers,2023
1324,Injured List,"$11,924,851",24th,milwaukee-brewers,2023
1325,Reserve/Suspended,"$298,067",2nd,milwaukee-brewers,2023
1326,Retained,"$13,590,062",20th,milwaukee-brewers,2023
1327,Minor,"$3,260,808",8th,milwaukee-brewers,2023
1328,Total Adjusted Payroll Allocations,"$115,413,345",21st,milwaukee-brewers,2023
1329,Active Roster,"$77,967,521",17th,minnesota-twins,2023
1330,Injured List,"$71,263,008",5th,minnesota-twins,2023
1331,Retained,"$3,421,766",27th,minnesota-twins,2023
1332,Minor,"$3,347,413",7th,minnesota-twins,2023
1333,Total Adjusted Payroll Allocations,"$155,999,708",16th,minnesota-twins,2023
1334,Active Roster,"$104,157,606",12th,new-york-mets,2023
1335,Injured List,"$76,849,257",3rd,new-york-mets,2023
1336,Retained,"$158,207,683",1st,new-york-mets,2023
1337,Minor,"$2,459,231",13th,new-york-mets,2023
1338,Total Adjusted Payroll Allocations,"$341,673,777",1st,new-york-mets,2023
1339,Active Roster,"$187,316,625",4th,new-york-yankees,2023
1340,Injured List,"$50,681,231",6th,new-york-yankees,2023
1341,Reserve/Suspended,"$3,320,000",1st,new-york-yankees,2023
1342,Retained,"$35,880,817",6th,new-york-yankees,2023
1343,Minor,"$1,452,477",19th,new-york-yankees,2023
1344,Total Adjusted Payroll Allocations,"$278,651,150",2nd,new-york-yankees,2023
1345,Active Roster,"$218,609,553",1st,philadelphia-phillies,2023
1346,Injured List,"$12,530,327",22nd,philadelphia-phillies,2023
1347,Retained,"$3,345,770",28th,philadelphia-phillies,2023
1348,Minor,"$10,933,645",1st,philadelphia-phillies,2023
1349,Total Adjusted Payroll Allocations,"$245,419,295",5th,philadelphia-phillies,2023
1350,Active Roster,"$30,946,061",30th,pittsburgh-pirates,2023
1351,Injured List,"$22,463,351",17th,pittsburgh-pirates,2023
1352,Retained,"$17,801,293",15th,pittsburgh-pirates,2023
1353,Minor,"$3,460,270",6th,pittsburgh-pirates,2023
1354,Total Adjusted Payroll Allocations,"$74,670,975",28th,pittsburgh-pirates,2023
1355,Active Roster,"$164,623,555",5th,san-diego-padres,2023
1356,Injured List,"$71,689,912",4th,san-diego-padres,2023
1357,Retained,"$16,420,993",16th,san-diego-padres,2023
1358,Minor,"$716,071",30th,san-diego-padres,2023
1359,Total Adjusted Payroll Allocations,"$253,450,531",3rd,san-diego-padres,2023
1360,Active Roster,"$130,565,831",10th,san-francisco-giants,2023
1361,Injured List,"$39,922,449",9th,san-francisco-giants,2023
1362,Retained,"$15,271,991",18th,san-francisco-giants,2023
1363,Minor,"$1,637,894",16th,san-francisco-giants,2023
1364,Total Adjusted Payroll Allocations,"$187,398,165",12th,san-francisco-giants,2023
1365,Active Roster,"$71,896,948",19th,seattle-mariners,2023
1366,Injured List,"$27,157,168",15th,seattle-mariners,2023
1367,Retained,"$24,571,247",11th,seattle-mariners,2023
1368,Minor,"$1,141,540",26th,seattle-mariners,2023
1369,Total Adjusted Payroll Allocations,"$124,766,903",18th,seattle-mariners,2023
1370,Active Roster,"$83,908,832",15th,st-louis-cardinals,2023
1371,Injured List,"$48,168,555",7th,st-louis-cardinals,2023
1372,Retained,"$20,560,215",14th,st-louis-cardinals,2023
1373,Minor,"$1,155,426",25th,st-louis-cardinals,2023
1374,Total Adjusted Payroll Allocations,"$153,793,028",17th,st-louis-cardinals,2023
1375,Active Roster,"$52,744,710",25th,tampa-bay-rays,2023
1376,Injured List,"$15,788,201",21st,tampa-bay-rays,2023
1377,Suspended/Restricted,"$2,454,545",4th,tampa-bay-rays,2023
1378,Retained,"$2,956,334",29th,tampa-bay-rays,2023
1379,Minor,"$1,004,572",28th,tampa-bay-rays,2023
1380,Total Adjusted Payroll Allocations,"$74,948,362",27th,tampa-bay-rays,2023
1381,Active Roster,"$148,828,188",8th,texas-rangers,2023
1382,Injured List,"$96,208,979",2nd,texas-rangers,2023
1383,Retained,"$4,993,881",26th,texas-rangers,2023
1384,Minor,"$1,301,706",21st,texas-rangers,2023
1385,Total Adjusted Payroll Allocations,"$251,332,754",4th,texas-rangers,2023
1386,Active Roster,"$194,200,854",3rd,toronto-blue-jays,2023
1387,Injured List,"$6,851,292",28th,toronto-blue-jays,2023
1388,Retained,"$9,776,101",24th,toronto-blue-jays,2023
1389,Minor,"$3,802,638",5th,toronto-blue-jays,2023
1390,Total Adjusted Payroll Allocations,"$214,630,885",9th,toronto-blue-jays,2023
1391,Active Roster,"$49,949,016",26th,washington-nationals,2023
1392,Injured List,"$32,648,896",13th,washington-nationals,2023
1393,Suspended/Restricted,"$232,260",6th,washington-nationals,2023
1394,Retained,"$7,902,056",25th,washington-nationals,2023
1395,Minor,"$2,646,435",11th,washington-nationals,2023
1396,Total Adjusted Payroll Allocations,"$93,378,663",25th,washington-nationals,2023
1397,Active Roster,"$134,502,970",10th,arizona-diamondbacks,2024
1398,Injured List,"$9,600,600",27th,arizona-diamondbacks,2024
1399,Reserve/Suspended,"$70,731",3rd,arizona-diamondbacks,2024
1400,Retained,"$25,631,063",14th,arizona-diamondbacks,2024
1401,Minor,"$3,001,465",12th,arizona-diamondbacks,2024
1402,Total Adjusted Payroll Allocations,"$172,806,829",13th,arizona-diamondbacks,2024
1403,Active Roster,"$28,956,713",29th,athletics,2024
1404,Injured List,"$15,581,092",21st,athletics,2024
1405,Reserve/Suspended,"$274,482",2nd,athletics,2024
1406,Retained,"$15,557,073",23rd,athletics,2024
1407,Minor,"$1,763,221",24th,athletics,2024
1408,Total Adjusted Payroll Allocations,"$62,132,581",30th,athletics,2024
1409,Active Roster,"$156,338,167",7th,atlanta-braves,2024
1410,Injured List,"$47,028,814",6th,atlanta-braves,2024
1411,Retained,"$29,249,155",11th,atlanta-braves,2024
1412,Minor,"$8,417,765",3rd,atlanta-braves,2024
1413,Total Adjusted Payroll Allocations,"$236,433,901",6th,atlanta-braves,2024
1414,Active Roster,"$65,994,548",21st,baltimore-orioles,2024
1415,Injured List,"$10,808,540",25th,baltimore-orioles,2024
1416,Retained,"$30,650,082",10th,baltimore-orioles,2024
1417,Minor,"$1,882,324",21st,baltimore-orioles,2024
1418,Total Adjusted Payroll Allocations,"$109,335,494",22nd,baltimore-orioles,2024
1419,Active Roster,"$77,327,289",18th,boston-red-sox,2024
1420,Injured List,"$76,400,974",2nd,boston-red-sox,2024
1421,Retained,"$31,745,306",9th,boston-red-sox,2024
1422,Minor,"$3,063,876",10th,boston-red-sox,2024
1423,Total Adjusted Payroll Allocations,"$188,537,445",11th,boston-red-sox,2024
1424,Active Roster,"$177,805,468",4th,chicago-cubs,2024
1425,Injured List,"$10,207,418",26th,chicago-cubs,2024
1426,Retained,"$36,617,219",7th,chicago-cubs,2024
1427,Minor,"$7,604,537",4th,chicago-cubs,2024
1428,Total Adjusted Payroll Allocations,"$229,567,975",7th,chicago-cubs,2024
1429,Active Roster,"$74,306,691",19th,chicago-white-sox,2024
1430,Injured List,"$8,284,460",29th,chicago-white-sox,2024
1431,Retained,"$46,893,796",4th,chicago-white-sox,2024
1432,Minor,"$3,012,600",11th,chicago-white-sox,2024
1433,Total Adjusted Payroll Allocations,"$132,497,547",18th,chicago-white-sox,2024
1434,Active Roster,"$55,850,116",23rd,cincinnati-reds,2024
1435,Injured List,"$22,271,250",17th,cincinnati-reds,2024
1436,Retained,"$20,560,145",18th,cincinnati-reds,2024
1437,Minor,"$1,573,344",27th,cincinnati-reds,2024
1438,Total Adjusted Payroll Allocations,"$100,254,855",25th,cincinnati-reds,2024
1439,Active Roster,"$50,885,032",25th,cleveland-guardians,2024
1440,Injured List,"$21,120,833",19th,cleveland-guardians,2024
1441,Retained,"$22,945,837",15th,cleveland-guardians,2024
1442,Minor,"$10,272,880",2nd,cleveland-guardians,2024
1443,Total Adjusted Payroll Allocations,"$105,224,582",23rd,cleveland-guardians,2024
1444,Active Roster,"$79,534,485",17th,colorado-rockies,2024
1445,Injured List,"$51,060,000",5th,colorado-rockies,2024
1446,Retained,"$13,132,583",27th,colorado-rockies,2024
1447,Minor,"$2,373,897",18th,colorado-rockies,2024
1448,Total Adjusted Payroll Allocations,"$146,100,965",17th,colorado-rockies,2024
1449,Active Roster,"$33,226,992",28th,detroit-tigers,2024
1450,Injured List,"$26,677,166",13th,detroit-tigers,2024
1451,Retained,"$36,920,494",6th,detroit-tigers,2024
1452,Minor,"$1,070,295",29th,detroit-tigers,2024
1453,Total Adjusted Payroll Allocations,"$96,961,614",26th,detroit-tigers,2024
1454,Active Roster,"$170,642,387",6th,houston-astros,2024
1455,Injured List,"$45,109,866",7th,houston-astros,2024
1456,Retained,"$21,665,317",16th,houston-astros,2024
1457,Minor,"$13,642,326",1st,houston-astros,2024
1458,Total Adjusted Payroll Allocations,"$251,059,896",3rd,houston-astros,2024
1459,Active Roster,"$84,606,907",16th,kansas-city-royals,2024
1460,Injured List,"$14,486,000",23rd,kansas-city-royals,2024
1461,Retained,"$21,087,524",17th,kansas-city-royals,2024
1462,Minor,"$2,386,442",17th,kansas-city-royals,2024
1463,Total Adjusted Payroll Allocations,"$122,566,873",20th,kansas-city-royals,2024
1464,Active Roster,"$40,083,433",26th,los-angeles-angels,2024
1465,Injured List,"$108,620,160",1st,los-angeles-angels,2024
1466,Retained,"$18,817,429",21st,los-angeles-angels,2024
1467,Minor,"$5,873,804",5th,los-angeles-angels,2024
1468,Total Adjusted Payroll Allocations,"$172,189,987",14th,los-angeles-angels,2024
1469,Active Roster,"$171,997,739",5th,los-angeles-dodgers,2024
1470,Injured List,"$37,949,016",9th,los-angeles-dodgers,2024
1471,Suspended/Restricted,"$740,000",2nd,los-angeles-dodgers,2024
1472,Retained,"$27,706,461",13th,los-angeles-dodgers,2024
1473,Minor,"$1,846,901",22nd,los-angeles-dodgers,2024
1474,Total Adjusted Payroll Allocations,"$240,240,117",5th,los-angeles-dodgers,2024
1475,Active Roster,"$11,473,396",30th,miami-marlins,2024
1476,Injured List,"$19,701,083",20th,miami-marlins,2024
1477,Retained,"$64,284,585",2nd,miami-marlins,2024
1478,Minor,"$4,131,241",7th,miami-marlins,2024
1479,Total Adjusted Payroll Allocations,"$96,590,305",27th,miami-marlins,2024
1480,Active Roster,"$71,398,748",20th,milwaukee-brewers,2024
1481,Injured List,"$34,433,308",11th,milwaukee-brewers,2024
1482,Retained,"$6,151,779",29th,milwaukee-brewers,2024
1483,Minor,"$2,239,544",19th,milwaukee-brewers,2024
1484,Total Adjusted Payroll Allocations,"$114,223,379",21st,milwaukee-brewers,2024
1485,Active Roster,"$102,020,614",14th,minnesota-twins,2024
1486,Injured List,"$22,053,202",18th,minnesota-twins,2024
1487,Retained,"$2,570,833",30th,minnesota-twins,2024
1488,Minor,"$2,435,402",16th,minnesota-twins,2024
1489,Total Adjusted Payroll Allocations,"$129,080,051",19th,minnesota-twins,2024
1490,Active Roster,"$186,528,021",3rd,new-york-mets,2024
1491,Injured List,"$37,578,740",10th,new-york-mets,2024
1492,Retained,"$87,720,420",1st,new-york-mets,2024
1493,Minor,"$3,931,503",8th,new-york-mets,2024
1494,Total Adjusted Payroll Allocations,"$314,748,899",1st,new-york-mets,2024
1495,Active Roster,"$260,231,924",1st,new-york-yankees,2024
1496,Injured List,"$25,630,756",16th,new-york-yankees,2024
1497,Retained,"$19,146,394",19th,new-york-yankees,2024
1498,Minor,"$3,565,533",9th,new-york-yankees,2024
1499,Total Adjusted Payroll Allocations,"$308,574,607",2nd,new-york-yankees,2024
1500,Active Roster,"$226,211,338",2nd,philadelphia-phillies,2024
1501,Injured List,"$3,031,516",30th,philadelphia-phillies,2024
1502,Retained,"$15,356,883",24th,philadelphia-phillies,2024
1503,Minor,"$1,699,868",26th,philadelphia-phillies,2024
1504,Total Adjusted Payroll Allocations,"$246,299,605",4th,philadelphia-phillies,2024
1505,Active Roster,"$51,220,210",24th,pittsburgh-pirates,2024
1506,Injured List,"$14,524,211",22nd,pittsburgh-pirates,2024
1507,Retained,"$15,341,351",25th,pittsburgh-pirates,2024
1508,Minor,"$2,965,217",13th,pittsburgh-pirates,2024
1509,Total Adjusted Payroll Allocations,"$84,050,989",29th,pittsburgh-pirates,2024
1510,Active Roster,"$142,394,254",9th,san-diego-padres,2024
1511,Injured List,"$9,034,386",28th,san-diego-padres,2024
1512,Reserve/Suspended,"$276,759",1st,san-diego-padres,2024
1513,Retained,"$19,045,542",20th,san-diego-padres,2024
1514,Minor,"$2,437,482",15th,san-diego-padres,2024
1515,Total Adjusted Payroll Allocations,"$170,855,090",15th,san-diego-padres,2024
1516,Active Roster,"$102,704,227",13th,san-francisco-giants,2024
1517,Injured List,"$53,113,846",4th,san-francisco-giants,2024
1518,Retained,"$44,357,646",5th,san-francisco-giants,2024
1519,Minor,"$1,791,662",23rd,san-francisco-giants,2024
1520,Total Adjusted Payroll Allocations,"$201,967,381",10th,san-francisco-giants,2024
1521,Active Roster,"$93,668,820",15th,seattle-mariners,2024
1522,Injured List,"$29,288,727",12th,seattle-mariners,2024
1523,Retained,"$28,968,591",12th,seattle-mariners,2024
1524,Minor,"$2,004,494",20th,seattle-mariners,2024
1525,Total Adjusted Payroll Allocations,"$147,930,632",16th,seattle-mariners,2024
1526,Active Roster,"$112,213,666",12th,st-louis-cardinals,2024
1527,Injured List,"$44,602,200",8th,st-louis-cardinals,2024
1528,Retained,"$18,024,055",22nd,st-louis-cardinals,2024
1529,Minor,"$1,092,838",28th,st-louis-cardinals,2024
1530,Total Adjusted Payroll Allocations,"$175,932,759",12th,st-louis-cardinals,2024
1531,Active Roster,"$37,691,876",27th,tampa-bay-rays,2024
1532,Injured List,"$13,179,262",24th,tampa-bay-rays,2024
1533,Suspended/Restricted,"$2,454,545",1st,tampa-bay-rays,2024
1534,Retained,"$34,675,167",8th,tampa-bay-rays,2024
1535,Minor,"$1,706,572",25th,tampa-bay-rays,2024
1536,Total Adjusted Payroll Allocations,"$89,707,422",28th,tampa-bay-rays,2024
1537,Active Roster,"$145,959,070",8th,texas-rangers,2024
1538,Injured List,"$70,265,121",3rd,texas-rangers,2024
1539,Retained,"$8,523,079",28th,texas-rangers,2024
1540,Minor,"$798,138",30th,texas-rangers,2024
1541,Total Adjusted Payroll Allocations,"$225,545,408",8th,texas-rangers,2024
1542,Active Roster,"$132,130,693",11th,toronto-blue-jays,2024
1543,Injured List,"$26,456,777",14th,toronto-blue-jays,2024
1544,Retained,"$54,615,363",3rd,toronto-blue-jays,2024
1545,Minor,"$5,199,986",6th,toronto-blue-jays,2024
1546,Total Adjusted Payroll Allocations,"$218,402,819",9th,toronto-blue-jays,2024
1547,Active Roster,"$60,351,144",22nd,washington-nationals,2024
1548,Injured List,"$26,347,303",15th,washington-nationals,2024
1549,Personal Leave,"$186,966",1st,washington-nationals,2024
1550,Retained,"$14,212,004",26th,washington-nationals,2024
1551,Minor,"$2,847,990",14th,washington-nationals,2024
1552,Total Adjusted Payroll Allocations,"$103,945,407",24th,washington-nationals,2024
