,player_type,amount,rank,team,year
278,Active Roster,"$36,226,000",28th,tampa-bay-rays,2016
279,Injured List,"$5,226,100",21st,tampa-bay-rays,2016
280,Retained,"$20,177,348",11th,tampa-bay-rays,2016
281,Minor,"$779,101",11th,tampa-bay-rays,2016
282,Total Adjusted Payroll Allocations,"$62,408,549",29th,tampa-bay-rays,2016
283,Active Roster,"$134,724,626",8th,texas-rangers,2016
284,Injured List,"$21,458,018",6th,texas-rangers,2016
285,Retained,"$6,652,924",24th,texas-rangers,2016
286,Minor,"$186,122",22nd,texas-rangers,2016
287,Total Adjusted Payroll Allocations,"$163,021,690",8th,texas-rangers,2016
288,Active Roster,"$134,332,539",9th,toronto-blue-jays,2016
289,Injured List,"$1,000,000",29th,toronto-blue-jays,2016
290,Retained,"$12,644,767",18th,toronto-blue-jays,2016
291,Minor,"$565,489",15th,toronto-blue-jays,2016
292,Total Adjusted Payroll Allocations,"$148,385,479",11th,toronto-blue-jays,2016
293,Active Roster,"$119,416,458",12th,washington-nationals,2016
294,Injured List,"$5,869,400",20th,washington-nationals,2016
295,Retained,"$14,207,786",17th,washington-nationals,2016
296,Minor,"$90,208",24th,washington-nationals,2016
297,Total Adjusted Payroll Allocations,"$139,583,852",15th,washington-nationals,2016
298,Active Roster,"$81,644,775",19th,arizona-diamondbacks,2017
299,Injured List,"$19,379,200",7th,arizona-diamondbacks,2017
300,Retained,"$1,572,116",30th,arizona-diamondbacks,2017
301,Minor,"$23,384",30th,arizona-diamondbacks,2017
302,Total Adjusted Payroll Allocations,"$102,619,475",23rd,arizona-diamondbacks,2017
303,Active Roster,"$31,723,817",28th,athletics,2017
304,Injured List,"$1,437,784",23rd,athletics,2017
305,Retained,"$39,189,018",7th,athletics,2017
306,Minor,"$1,126,461",12th,athletics,2017
307,Total Adjusted Payroll Allocations,"$73,477,080",29th,athletics,2017
308,Active Roster,"$81,963,434",18th,atlanta-braves,2017
309,Injured List,"$1,997,766",22nd,atlanta-braves,2017
310,Retained,"$21,037,983",15th,atlanta-braves,2017
311,Minor,"$269,392",24th,atlanta-braves,2017
312,Total Adjusted Payroll Allocations,"$105,268,575",21st,atlanta-braves,2017
313,Active Roster,"$163,560,704",6th,baltimore-orioles,2017
314,Retained,"$7,267,168",24th,baltimore-orioles,2017
315,Minor,"$3,301,913",4th,baltimore-orioles,2017
316,Total Adjusted Payroll Allocations,"$174,129,785",8th,baltimore-orioles,2017
317,Active Roster,"$172,158,546",2nd,boston-red-sox,2017
318,Injured List,"$5,941,108",20th,boston-red-sox,2017
319,Retained,"$30,597,474",11th,boston-red-sox,2017
320,Minor,"$1,175,380",11th,boston-red-sox,2017
321,Total Adjusted Payroll Allocations,"$209,872,508",2nd,boston-red-sox,2017
322,Active Roster,"$161,127,834",7th,chicago-cubs,2017
323,Retained,"$10,748,400",21st,chicago-cubs,2017
324,Minor,"$216,302",25th,chicago-cubs,2017
325,Total Adjusted Payroll Allocations,"$172,092,536",9th,chicago-cubs,2017
326,Active Roster,"$32,540,383",27th,chicago-white-sox,2017
327,Injured List,"$7,571,000",15th,chicago-white-sox,2017
328,Retained,"$44,858,846",4th,chicago-white-sox,2017
329,Minor,"$525,009",18th,chicago-white-sox,2017
330,Total Adjusted Payroll Allocations,"$85,495,238",26th,chicago-white-sox,2017
331,Active Roster,"$64,567,947",23rd,cincinnati-reds,2017
332,Injured List,"$16,021,450",12th,cincinnati-reds,2017
333,Retained,"$15,403,006",18th,cincinnati-reds,2017
334,Minor,"$443,600",19th,cincinnati-reds,2017
335,Total Adjusted Payroll Allocations,"$96,436,003",25th,cincinnati-reds,2017
336,Active Roster,"$116,072,319",13th,cleveland-guardians,2017
337,Injured List,"$6,129,713",19th,cleveland-guardians,2017
338,Retained,"$10,007,205",22nd,cleveland-guardians,2017
339,Minor,"$49,691",29th,cleveland-guardians,2017
340,Total Adjusted Payroll Allocations,"$132,258,928",18th,cleveland-guardians,2017
341,Active Roster,"$108,379,084",15th,colorado-rockies,2017
342,Retained,"$30,443,391",12th,colorado-rockies,2017
343,Minor,"$676,866",14th,colorado-rockies,2017
344,Total Adjusted Payroll Allocations,"$139,499,341",16th,colorado-rockies,2017
345,Active Roster,"$91,135,320",17th,detroit-tigers,2017
346,Injured List,"$18,000,000",8th,detroit-tigers,2017
347,Retained,"$77,874,916",1st,detroit-tigers,2017
348,Minor,"$1,018,638",13th,detroit-tigers,2017
349,Total Adjusted Payroll Allocations,"$188,028,874",5th,detroit-tigers,2017
350,Active Roster,"$132,170,916",8th,houston-astros,2017
351,Injured List,"$835,843",26th,houston-astros,2017
352,Retained,"$3,284,838",29th,houston-astros,2017
353,Minor,"$2,052,614",8th,houston-astros,2017
354,Total Adjusted Payroll Allocations,"$138,344,211",17th,houston-astros,2017
355,Active Roster,"$125,678,691",11th,kansas-city-royals,2017
356,Injured List,"$1,046,749",25th,kansas-city-royals,2017
357,Retained,"$19,965,515",16th,kansas-city-royals,2017
358,Minor,"$1,536,867",9th,kansas-city-royals,2017
359,Total Adjusted Payroll Allocations,"$148,227,822",13th,kansas-city-royals,2017
360,Active Roster,"$114,610,825",14th,los-angeles-angels,2017
361,Injured List,"$16,095,730",11th,los-angeles-angels,2017
362,Retained,"$34,823,286",9th,los-angeles-angels,2017
363,Minor,"$631,368",15th,los-angeles-angels,2017
364,Total Adjusted Payroll Allocations,"$166,161,209",10th,los-angeles-angels,2017
365,Active Roster,"$184,429,091",1st,los-angeles-dodgers,2017
366,Injured List,"$22,654,516",5th,los-angeles-dodgers,2017
367,Retained,"$41,492,656",6th,los-angeles-dodgers,2017
368,Minor,"$10,735,130",1st,los-angeles-dodgers,2017
369,Total Adjusted Payroll Allocations,"$259,311,393",1st,los-angeles-dodgers,2017
370,Active Roster,"$72,360,311",21st,miami-marlins,2017
371,Injured List,"$21,441,206",6th,miami-marlins,2017
372,Retained,"$13,782,819",20th,miami-marlins,2017
373,Minor,"$3,181,263",5th,miami-marlins,2017
374,Total Adjusted Payroll Allocations,"$110,765,599",20th,miami-marlins,2017
375,Active Roster,"$57,578,930",25th,milwaukee-brewers,2017
376,Injured List,"$547,000",27th,milwaukee-brewers,2017
377,Retained,"$6,033,614",27th,milwaukee-brewers,2017
378,Minor,"$417,192",20th,milwaukee-brewers,2017
379,Total Adjusted Payroll Allocations,"$64,576,736",30th,milwaukee-brewers,2017
380,Active Roster,"$75,616,449",20th,minnesota-twins,2017
381,Injured List,"$22,830,000",3rd,minnesota-twins,2017
382,Retained,"$19,497,309",17th,minnesota-twins,2017
383,Minor,"$2,899,073",7th,minnesota-twins,2017
384,Total Adjusted Payroll Allocations,"$120,842,831",19th,minnesota-twins,2017
385,Active Roster,"$48,736,470",26th,new-york-mets,2017
386,Injured List,"$44,924,726",1st,new-york-mets,2017
387,Retained,"$49,595,502",3rd,new-york-mets,2017
388,Minor,"$58,460",28th,new-york-mets,2017
389,Total Adjusted Payroll Allocations,"$143,315,158",15th,new-york-mets,2017
390,Active Roster,"$164,826,896",4th,new-york-yankees,2017
391,Injured List,"$7,867,680",14th,new-york-yankees,2017
392,Retained,"$36,170,687",8th,new-york-yankees,2017
393,Minor,"$179,239",26th,new-york-yankees,2017
394,Total Adjusted Payroll Allocations,"$209,044,502",3rd,new-york-yankees,2017
395,Active Roster,"$28,213,540",29th,philadelphia-phillies,2017
396,Injured List,"$16,578,578",10th,philadelphia-phillies,2017
397,Retained,"$58,889,622",2nd,philadelphia-phillies,2017
398,Minor,"$339,068",23rd,philadelphia-phillies,2017
399,Total Adjusted Payroll Allocations,"$104,020,808",22nd,philadelphia-phillies,2017
400,Active Roster,"$66,496,313",22nd,pittsburgh-pirates,2017
401,Injured List,"$16,750,000",9th,pittsburgh-pirates,2017
402,Suspended/Restricted,"$2,750,000",1st,pittsburgh-pirates,2017
403,Retained,"$14,381,028",19th,pittsburgh-pirates,2017
404,Minor,"$125,689",27th,pittsburgh-pirates,2017
405,Total Adjusted Payroll Allocations,"$100,503,030",24th,pittsburgh-pirates,2017
406,Active Roster,"$23,930,424",30th,san-diego-padres,2017
407,Injured List,"$5,182,750",21st,san-diego-padres,2017
408,Retained,"$42,793,983",5th,san-diego-padres,2017
409,Minor,"$5,014,521",2nd,san-diego-padres,2017
410,Total Adjusted Payroll Allocations,"$76,921,678",28th,san-diego-padres,2017
411,Active Roster,"$171,792,784",3rd,san-francisco-giants,2017
412,Injured List,"$7,219,058",16th,san-francisco-giants,2017
413,Retained,"$6,354,972",26th,san-francisco-giants,2017
414,Minor,"$3,039,995",6th,san-francisco-giants,2017
415,Total Adjusted Payroll Allocations,"$188,406,809",4th,san-francisco-giants,2017
416,Active Roster,"$120,728,483",12th,seattle-mariners,2017
417,Injured List,"$29,449,738",2nd,seattle-mariners,2017
418,Retained,"$9,229,977",23rd,seattle-mariners,2017
419,Minor,"$1,333,612",10th,seattle-mariners,2017
420,Total Adjusted Payroll Allocations,"$160,741,810",12th,seattle-mariners,2017
421,Active Roster,"$107,961,954",16th,st-louis-cardinals,2017
422,Injured List,"$6,935,000",17th,st-louis-cardinals,2017
423,Retained,"$29,772,125",13th,st-louis-cardinals,2017
424,Minor,"$587,006",17th,st-louis-cardinals,2017
425,Total Adjusted Payroll Allocations,"$145,256,085",14th,st-louis-cardinals,2017
426,Active Roster,"$63,918,694",24th,tampa-bay-rays,2017
427,Injured List,"$6,867,218",18th,tampa-bay-rays,2017
428,Retained,"$7,098,455",25th,tampa-bay-rays,2017
429,Minor,"$382,917",22nd,tampa-bay-rays,2017
430,Total Adjusted Payroll Allocations,"$77,811,205",27th,tampa-bay-rays,2017
431,Active Roster,"$126,415,185",10th,texas-rangers,2017
432,Injured List,"$1,074,360",24th,texas-rangers,2017
433,Retained,"$33,856,996",10th,texas-rangers,2017
434,Minor,"$619,779",16th,texas-rangers,2017
435,Total Adjusted Payroll Allocations,"$161,966,320",11th,texas-rangers,2017
436,Active Roster,"$127,315,534",9th,toronto-blue-jays,2017
437,Injured List,"$22,811,106",4th,toronto-blue-jays,2017
438,Retained,"$21,914,802",14th,toronto-blue-jays,2017
439,Minor,"$3,576,045",3rd,toronto-blue-jays,2017
440,Total Adjusted Payroll Allocations,"$175,617,487",7th,toronto-blue-jays,2017
441,Active Roster,"$164,539,852",5th,washington-nationals,2017
